time,power_root,parent_1,parent_2,child_1,child_2,child_3,child_4
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0
453,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0
457,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0
603,0.0290033502,0,0,0,0,0,0
604,0.02816112585,0,0,0,0,0,0
605,0.0272593959,0,0,0,0,0,0
606,0.029038185,0,0,0,0,0,0
607,0.029005823549999993,0,0,0,0,0,0
608,0.02788683975,0,0,0,0,0,0
609,0.02707484175,0,0,0,0,0,0
610,0.02646988905,0,0,0,0,0,0
611,0.0268002999,0,0,0,0,0,0
612,0.0268038804,0,0,0,0,0,0
613,0.0248392188,0,0,0,0,0,0
614,0.0273080775,0,0,0,0,0,0
615,0.0246114231,0,0,0,0,0,0
616,0.0283927314,0,0,0,0,0,0
617,0.0287641794,0,0,0,0,0,0
618,0.0276908577,0,0,0,0,0,0
619,0.0259231005,0,0,0,0,0,0
620,0.0290074686,0,0,0,0,0,0
621,0.0281777793,0,0,0,0,0,0
622,0.0290036934,0,0,0,0,0,0
623,0.0290079603,0,0,0,0,0,0
624,0.02596655325,0,0,0,0,0,0
625,0.025573812,0,0,0,0,0,0
626,0.026153787,0,0,0,0,0,0
627,0.0290069142,0,0,0,0,0,0
628,0.026773946099999994,0,0,0,0,0,0
629,0.027257142,0,0,0,0,0,0
630,0.0259955289,0,0,0,0,0,0
631,0.0273080049,0,0,0,0,0,0
632,0.0290117619,0,0,0,0,0,0
633,0.0265770516,0,0,0,0,0,0
634,0.0276814791,0,0,0,0,0,0
635,0.0259788672,0,0,0,0,0,0
636,0.029009607,0,0,0,0,0,0
637,0.02745472455,0,0,0,0,0,0
638,0.0290031258,0,0,0,0,0,0
639,0.025838868,0,0,0,0,0,0
640,0.0266779491,0,0,0,0,0,0
641,0.02670423525,0,0,0,0,0,0
642,0.026885367299999994,0,0,0,0,0,0
643,0.0270331083,0,0,0,0,0,0
644,0.02477334585,0,0,0,0,0,0
645,0.0290047263,0,0,0,0,0,0
646,0.0268945017,0,0,0,0,0,0
647,0.02673360855,0,0,0,0,0,0
648,0.02766849525,0,0,0,0,0,0
649,0.02594112015,0,0,0,0,0,0
650,0.0257123691,0,0,0,0,0,0
651,0.02900902125,0,0,0,0,0,0
652,0.0290079834,0,0,0,0,0,0
653,0.0274569702,0,0,0,0,0,0
654,0.0264326139,0,0,0,0,0,0
655,0.0255778446,0,0,0,0,0,0
656,0.0268952343,0,0,0,0,0,0
657,0.0274926894,0,0,0,0,0,0
658,0.0259213746,0,0,0,0,0,0
659,0.0249577581,0,0,0,0,0,0
660,0.0278167758,0,0,0,0,0,0
661,0.0269704875,0,0,0,0,0,0
662,0.0267990789,0,0,0,0,0,0
663,0.0269419821,0,0,0,0,0,0
664,0.0252737529,0,0,0,0,0,0
665,0.0290096202,0,0,0,0,0,0
666,0.0244981539,0,0,0,0,0,0
667,0.026079108,0,0,0,0,0,0
668,0.0264837738,0,0,0,0,0,0
669,0.029007462,0,0,0,0,0,0
670,0.0290078778,0,0,0,0,0,0
671,0.0283904379,0,0,0,0,0,0
672,0.0271327518,0,0,0,0,0,0
673,0.0273601944,0,0,0,0,0,0
674,0.0275169543,0,0,0,0,0,0
675,0.0283980906,0,0,0,0,0,0
676,0.0290041488,0,0,0,0,0,0
677,0.0244587915,0,0,0,0,0,0
678,0.02689872075,0,0,0,0,0,0
679,0.0290063697,0,0,0,0,0,0
680,0.0252720501,0,0,0,0,0,0
681,0.0273888549,0,0,0,0,0,0
682,0.0265572153,0,0,0,0,0,0
683,0.0263153088,0,0,0,0,0,0
684,0.0274701537,0,0,0,0,0,0
685,0.0278809344,0,0,0,0,0,0
686,0.0290079636,0,0,0,0,0,0
687,0.0271325043,0,0,0,0,0,0
688,0.0256757622,0,0,0,0,0,0
689,0.0290096004,0,0,0,0,0,0
690,0.0254187483,0,0,0,0,0,0
691,0.0264164175,0,0,0,0,0,0
692,0.02900088675,0,0,0,0,0,0
693,0.02699105145,0,0,0,0,0,0
694,0.0290074851,0,0,0,0,0,0
695,0.02677590795,0,0,0,0,0,0
696,0.027415248299999993,0,0,0,0,0,0
697,0.0265977723,0,0,0,0,0,0
698,0.0272005635,0,0,0,0,0,0
699,0.0257203881,0,0,0,0,0,0
700,0.02522956095,0,0,0,0,0,0
701,0.0259954431,0,0,0,0,0,0
702,0.027478077,0,0,0,0,0,0
703,0.0276901647,0,0,0,0,0,0
704,0.0265235256,0,0,0,0,0,0
705,0.0264776292,0,0,0,0,0,0
706,0.0273522018,0,0,0,0,0,0
707,0.0289993539,0,0,0,0,0,0
708,0.0271541919,0,0,0,0,0,0
709,0.0273252903,0,0,0,0,0,0
710,0.0281897286,0,0,0,0,0,0
711,0.0279692853,0,0,0,0,0,0
712,0.0283433667,0,0,0,0,0,0
713,0.0275157762,0,0,0,0,0,0
714,0.02666570775,0,0,0,0,0,0
715,0.0275197857,0,0,0,0,0,0
716,0.0271174167,0,0,0,0,0,0
717,0.0283373574,0,0,0,0,0,0
718,0.02496005325,0,0,0,0,0,0
719,0.0271343094,0,0,0,0,0,0
720,0.0290074389,0,0,0,0,0,0
721,0.026528931,0,0,0,0,0,0
722,0.0284864118,0,0,0,0,0,0
723,0.026688222,0,0,0,0,0,0
724,0.0275816013,0,0,0,0,0,0
725,0.02901045675,0,0,0,0,0,0
726,0.02900475765,0,0,0,0,0,0
727,0.02835678285,0,0,0,0,0,0
728,0.02660608995,0,0,0,0,0,0
729,0.0243834591,0,0,0,0,0,0
730,0.02859744195,0,0,0,0,0,0
731,0.02658142905,0,0,0,0,0,0
732,0.02642476155,0,0,0,0,0,0
733,0.0289993572,0,0,0,0,0,0
734,0.02900584005,0,0,0,0,0,0
735,0.0272340387,0,0,0,0,0,0
736,0.02583192975,0,0,0,0,0,0
737,0.0276095688,0,0,0,0,0,0
738,0.0279556299,0,0,0,0,0,0
739,0.0285497619,0,0,0,0,0,0
740,0.0277038432,0,0,0,0,0,0
741,0.0273953493,0,0,0,0,0,0
742,0.0290381817,0,0,0,0,0,0
743,0.02597187945,0,0,0,0,0,0
744,0.024429009,0,0,0,0,0,0
745,0.029006934,0,0,0,0,0,0
746,0.0285668229,0,0,0,0,0,0
747,0.0274751136,0,0,0,0,0,0
748,0.02668751415,0,0,0,0,0,0
749,0.02505763095,0,0,0,0,0,0
750,0.02717157465,0,0,0,0,0,0
751,0.029004789,0,0,0,0,0,0
752,0.0274582704,0,0,0,0,0,0
753,0.0259932783,0,0,0,0,0,0
754,0.029008518,0,0,0,0,0,0
755,0.0252218736,0,0,0,0,0,0
756,0.0280241709,0,0,0,0,0,0
757,0.0275444268,0,0,0,0,0,0
758,0.0290095641,0,0,0,0,0,0
759,0.02598851145,0,0,0,0,0,0
760,0.0249439146,0,0,0,0,0,0
761,0.0290085543,0,0,0,0,0,0
762,0.0253759968,0,0,0,0,0,0
763,0.0268520274,0,0,0,0,0,0
764,0.0270628347,0,0,0,0,0,0
765,0.0266881923,0,0,0,0,0,0
766,0.02660244675,0,0,0,0,0,0
767,0.02650500105,0,0,0,0,0,0
768,0.02598598035,0,0,0,0,0,0
769,0.0260856651,0,0,0,0,0,0
770,0.0290025747,0,0,0,0,0,0
771,0.0274409883,0,0,0,0,0,0
772,0.02900908065,0,0,0,0,0,0
773,0.027427438499999995,0,0,0,0,0,0
774,0.02529443565,0,0,0,0,0,0
775,0.0279723411,0,0,0,0,0,0
776,0.0286756998,0,0,0,0,0,0
777,0.0247752417,0,0,0,0,0,0
778,0.0290074455,0,0,0,0,0,0
779,0.02685189375,0,0,0,0,0,0
780,0.0254903055,0,0,0,0,0,0
781,0.0290024625,0,0,0,0,0,0
782,0.02542388475,0,0,0,0,0,0
783,0.0279885408,0,0,0,0,0,0
784,0.0288547314,0,0,0,0,0,0
785,0.0290085213,0,0,0,0,0,0
786,0.0274613163,0,0,0,0,0,0
787,0.029010696,0,0,0,0,0,0
788,0.0274919535,0,0,0,0,0,0
789,0.02900725575,0,0,0,0,0,0
790,0.02671843185,0,0,0,0,0,0
791,0.02872407615,0,0,0,0,0,0
792,0.0272157732,0,0,0,0,0,0
793,0.0266028609,0,0,0,0,0,0
